"bill_id","כותרת","הציר שנמצא","צד","נימוק"
"2198425","הצעת חוק לתיקון פקודת המשטרה (הרכב המחלקה לחקירות שוטרים), התשפ""ג-2023","(ללא ציר)","",""
"2198627","הצעת חוק מס ערך מוסף (תיקון - פטור ממס במכירת תרופות מצילות חיים שאינן כלולות בסל הבריאות), התשפ""ג-2023","האם להרחיב את המימון הממשלתי לשירותים רפואיים?","pro","מתן פטור ממע""מ על תרופות מצילות חיים מהווה סבסוד והקלה בעלויות על שירותים ומוצרים רפואיים חיוניים."
"2198794","הצעת חוק הסדרת העיסוק במקצועות הבריאות (תיקון - טיפול באמצעות אמנויות), התשפ""ג-2023","האם להחמיר את הפיקוח והרגולציה במערכת הבריאות?","pro","ההצעה מטילה רגולציה, חובת רישוי ותנאי הכשרה מקצועיים על העוסקים בטיפול באמצעות אמנויות"
"2198909","הצעת חוק איסור הונאה בכשרות (תיקון - הגדרת המינוח כשר לעניין הטעיה), התשפ""ג-2023","האם לפתוח את שוק הכשרות לתחרות?","con","ההצעה מחמירה את איסור השימוש במונחי כשרות ומגבילה גופי כשרות פרטיים ואלטרנטיביים"
"2199037","הצעת חוק הודעה לעובד ולמועמד לעבודה (תנאי עבודה והליכי מיון וקבלה לעבודה) (תיקון - הגברת השקיפות בעניין הפרשות לפנסיה), התשפ""ג-2023","האם להרחיב את ההגנות והזכויות הסוציאליות לעובדים?","pro","הרחבת חובת הדיווח והשקיפות כלפי העובד ביחס לזכויותיו הפנסיוניות מחזקת את הגנות העובדים"
"2199183","הצעת חוק הגנת הצרכן (תיקון - איסור התניית עסקה באופן תשלום), התשפ""ג-2023","האם להטיל חובות רגולציה ושקיפות על עסקים?","pro","הטלת חובות על עסקים לאפשר תשלום במזומן ומשלוח הודעת חיוב מקדימה לצרכן"
"2199445","הצעת חוק לשכת עורכי הדין (תיקון - קביעת אגרה מינימלית להגשת תלונה), התשפ""ג-2023","(ללא ציר)","",""
"2199542","הצעת חוק עבודת נשים (תיקון - שעות היעדרות מעבודה לאישה בהריון בר-סיכון), התשפ""ג-2023","האם להרחיב את ההגנות והזכויות הסוציאליות לעובדים?","pro","הרחבת שעות ההיעדרות בתשלום לנשים בהיריון בסיכון מרחיבה את זכויות והגנות העובדים"
"2199833","הצעת חוק סינון אתרים פוגעניים במקומות ציבוריים, התשפ""ג-2023","האם לחייב אתרי אינטרנט במנגנוני הגנה וחסימת תכנים?","pro","הטלת חובה להפעלת מנגנוני סינון וחסימת תכנים פוגעניים כברירת מחדל ברשתות במקומות ציבוריים"
"2200004","הצעת חוק בית המשפט לענייני משפחה (תיקון - פטור מתשלום אגרה למקבלי הבטחת הכנסה), התשפ""ג-2023","(ללא ציר)","",""
"2200170","הצעת חוק הביטוח הלאומי (תיקון - עקר בית), התשפ""ג-2023","האם לחייב מדיניות פעילה לקידום שוויון מגדרי?","pro","השוואת מעמדם של גברים לנשים בהגדרת 'עקר בית' בחוק הביטוח הלאומי מקדמת שוויון מגדרי"
"2200291","הצעת חוק חינוך ממלכתי (תיקון – מעמד החינוך הממלכתי המשלב), התשפ""ג–2023","(ללא ציר)","",""
"2200464","הצעת חוק לאי-מתן הטבות מס למוסד המקיים הפליה (תיקוני חקיקה), התשפ""ג-2023","האם לחייב מדיניות פעילה לקידום שוויון מגדרי?","pro","ההצעה מקדמת שוויון מגדרי וייצוג נשים באמצעות שלילת הטבות מס ממוסדות המפלים נשים"
"2200545","הצעת חוק הכשרות לאנשי מקצוע בנושא זיהוי ודיווח על התעללות בקטין או בחסר ישע, התשפ""ג-2023","(ללא ציר)","",""
"2200685","הצעת חוק דמי מחלה (תיקון - הצהרת מחלה), התשפ""ג-2023","האם להרחיב את ההגנות והזכויות הסוציאליות לעובדים?","pro","ההצעה מרחיבה את זכויות העובדים בכך שהיא מאפשרת קבלת דמי מחלה בהצהרה עצמית ללא צורך בתעודת רופא"
"2200837","הצעת חוק לתיקון פקודת התעבורה (קביעת קנס בגין גביית יתר של שכר הסעה במונית), התשפ""ג-2023","(ללא ציר)","",""
"2201046","הצעת חוק למניעת הטרדה מינית (תיקון - החמרת ענישה בעבירות טרור לאומני), התשפ""ג-2023","האם להרחיב הגנה משפטית ואכיפה למניעת הטרדות מיניות?","pro","ההצעה מחמירה את הענישה ומכפילה את הפיצויים בעבירות של הטרדה מינית בנסיבות מחמירות"
"2201234","הצעת חוק הרשות לפיתוח הנגב (תיקון מס' 4) (תיקון - ביטול החוק), התשפ""ג-2023","האם לקדם הסדרה ופיתוח קרקעות באזורי עדיפות?","con","ההצעה מבקשת לבטל את ההסדר המאפשר הכרה ופיתוח של חוות בודדים ומיזמים בנגב"
"2201483","הצעת חוק לתיקון פקודת העיריות (חובת גילוי מסמכי תאגיד עירוני), התשפ""ג-2023","האם להרחיב חובות שקיפות על גופים ציבוריים ועסקיים?","pro","ההצעה מרחיבה את חובות השקיפות והגילוי על תאגידים וחברות עירוניות"
"2201900","הצעת חוק הסדרת העיסוק במקצועות הבריאות (תיקון - הסדרת העיסוק בפודולוגיה), התשפ""ג-2023","(ללא ציר)","",""
"2202188","הצעת חוק הביטוח הלאומי (תיקון - משלוח הודעה בדבר זכאות המבוטח), התשפ""ג-2023","(ללא ציר)","",""
"2202762","הצעת חוק עורכי דין מיוחדים, התשפ""ג-2023","(ללא ציר)","",""
"2203061","הצעת חוק שוויון זכויות לאנשים עם מוגבלות (תיקון - מידע בדבר עמידת מעסיקים פרטיים גדולים ביעד הייצוג ההולם), התשפ""ג-2023","האם להטיל חובות רגולציה ושקיפות על עסקים?","pro","ההצעה מטילה חובת שקיפות ופרסום פומבי לגבי עמידתם של מעסיקים פרטיים גדולים ביעדי העסקת אנשים עם מוגבלות."
"2203305","הצעת חוק משפחות חיילים שנספו במערכה (תגמולים ושיקום) (תיקון - הכרה בארוסות חיילים שנספו במערכה), התשפ""ג-2023","האם להרחיב זכויות ופיצויים לנפגעי עבירה, איבה ושכול?","pro","ההצעה מרחיבה את מעגל הזכאים לתגמולים ושיקום בשכול הצבאי על ידי הכללת ארוסות וארוסים של חללים."
"2203736","הצעת חוק הגנת הצרכן (תיקון - שינוי פרטים בכרטיס טיסה או בכרטיס לשיט), התשפ""ג-2023","(ללא ציר)","",""
"2203963","הצעת חוק איסור שימוש בתקשורת בביטויים מעודדי אלימות, התשפ""ג-2023","(ללא ציר)","",""
"2204203","הצעת חוק איסור הפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים (תיקון - איסור הפליה בדיור), התשפ""ג-2023","(ללא ציר)","",""
"2205266","הצעת חוק המרכז לגביית קנסות, אגרות והוצאות (תיקון מס' 30) (פיצויים שהטיל בית משפט צבאי), התשפ""ד–2024","האם להרחיב זכויות ופיצויים לנפגעי עבירה, איבה ושכול?","pro","ההצעה מאפשרת גביית פיצויים שנפסקו לנפגעי עבירה וטרור בבתי משפט צבאיים באמצעות המרכז לגביית קנסות."
"2205737","הצעת חוק הגנה על זכויות הדורות הבאים, התשפ""ג-2023","(ללא ציר)","",""
"2206315","הצעת חוק מעמד ידועים בציבור, התשפ""ג-2023","(ללא ציר)","",""
"2206851","חוק הגנת הצרכן (תיקון מס' 66), התשפ""ג-2023","(ללא ציר)","",""
"2207041","הצעת חוק להנצחת הרב אברהם יצחק הכהן קוק, התשפ""ה–2025","האם להקים ולממן אירועי הנצחה ממלכתיים למורשת קבוצות שונות?","pro","ההצעה מסדירה בחקיקה מסגרת ממלכתית ותקציבית להנצחת מורשתו של הרב קוק."
"2207735","חוק אומנה לילדים (תיקון מס' 3), התשפ""ד-2024","(ללא ציר)","",""
"2208569","הצעת חוק להפחתת סכום הפיצוי הכספי בשל נסיעה ללא תיקוף כרטיס בתחבורה ציבורית (תיקוני חקיקה), התשפ""ג-2023","(ללא ציר)","",""
"2208927","הצעת חוק הביטוח הלאומי (תיקון - גמלת אבל), התשפ""ג-2023","האם להגדיל את קצבאות הביטוח הלאומי?","pro","יצירת גמלה חדשה בביטוח לאומי (גמלת אבל) מגדילה ומרחיבה את קצבאות הביטוח הלאומי"
"2209217","הצעת חוק הביטוח הלאומי (תיקון - מימון הסעת יולדת באמבולנס), התשפ""ג-2023","האם להרחיב את המימון הממשלתי לשירותים רפואיים?","pro","הרחבת המימון הממשלתי/ציבורי של הסעות אמבולנס ליולדות גם לאמבולנס ביטחון"
"2209530","הצעת חוק שירות המדינה (מינויים) (תיקון - העדפת מועמדים תושבי פריפריה), התשפ""ד-2023","האם לחייב העדפה מתקנת ומכסות ייצוג בגופים ציבוריים?","pro","מתן עדיפות בקבלה לעבודה בשירות המדינה לתושבי אזור עדיפות לאומית הוא מנגנון העדפה מתקנת בגופים ציבוריים"
"2210517","הצעת חוק פדיון הבית, התשע""ד-2023","(ללא ציר)","",""
"2211486","הצעת חוק הביטוח הלאומי (תיקון - הארכת תקופת הזכאות למענק עבודה מועדפת בחקלאות ובבנייה) (הוראת שעה), התשפ""ד-2024","האם למקד מענקים בעידוד תעסוקה בענפים חיוניים?","pro","הארכת תקופת הזכאות למענק מועדפת בחקלאות ובבנייה ממקדת מענקים ותמריצים ממשלתיים בענפים חיוניים אלו"
"2212422","הצעת חוק ההתגוננות האזרחית (תיקון - מנגנון נעילת דלת מרחב מוגן דירתי), התשפ""ד-2024","(ללא ציר)","",""
"2213122","הצעת חוק הפיקוח על מעונות יום לפעוטות (תיקון - חובת מרחב מוגן כתנאי לרישיון), התשפ""ד-2024 ","האם להרחיב פיקוח וסבסוד במעונות ובחינוך לגיל הרך?","pro","החמרת תנאי הרישוי והפיקוח על מעונות יום לפעוטות באמצעות חיוב קיומו של מרחב מוגן"
"2213774","הצעת חוק שימוש בזרע של נפטר לשם הולדה, התשפ""ד-2024","(ללא ציר)","",""
"2214799","הצעת חוק קדימות בתור לחיילים, התשפ""ד-2024 ","האם לתעדף הטבות לפי שירות צבאי או אזרחי?","pro","ההצעה מעניקה קדימות ופטור מהמתנה בתור ללוחמים, ובכך מתעדפת הטבות על בסיס שירות צבאי."
"2215713","הצעת חוק העונשין (תיקון - נשק לפגיעה המונית), התשפ""ד-2024","האם להחמיר ענישה ולקבוע עונשי מינימום?","pro","ההצעה מחמירה את הענישה בעבירות נשק וקובעת עונשי מינימום וקנסות חובה."
"2216816","הצעת חוק הנכים (תגמולים ושיקום) (תיקון - העברת תגמולים וזכאויות לבן משפחה של נכה), התשפ""ד-2024","(ללא ציר)","",""
"2217506","חוק בתי קברות צבאיים (תיקון מס' 5) (תיקון), התשפ""ו–2026","(ללא ציר)","",""
"2218542","חוק הנוטריונים (תיקון מס' 11), התשפ""ה-2025","(ללא ציר)","",""
"2219166","הצעת חוק דמי נסיעה לעובדי בתי חולים ציבוריים כלליים בתחבורה ציבורית (תיקוני חקיקה), התשפ""ד-2024","(ללא ציר)","",""
"2219734","הצעת חוק משפחות חיילים שנספו במערכה (תגמולים ושיקום) (תיקון – סיוע בתשלום ביטוח רכב ואגרת רישיון לשכול), התשפ""ד–2024","האם להרחיב זכויות ופיצויים לנפגעי עבירה, איבה ושכול?","pro","ההצעה מרחיבה את הזכויות והסיוע הכלכלי להורים שכולים של חללי צה""ל."
"2220609","הצעת חוק מניעת ייצוג משפטי של מדינת ישראל ממחבלים זרים (תיקוני חקיקה), התשפ""ד-2024","(ללא ציר)","",""
"2221002","הצעת חוק לתיקון פקודת בתי הסוהר (מס' 69), התשפ""ה–2025","(ללא ציר)","",""
"2222050","הצעת חוק חובת המכרזים (תיקון - הגדרת קווי העימות) (הוראת שעה), התשפ""ה-2024","(ללא ציר)","",""
"2222665","הצעת חוק יום לציון המאבק בגזענות, התשפ""ה-2024","האם להקים ולממן אירועי הנצחה ממלכתיים למורשת קבוצות שונות?","pro","קביעת יום ציון רשמי בחוק כולל תקצוב ייעודי ופעילות מוסדית תואמת את הרחבת אירועי ציון והנצחה ממלכתיים."
"2223451","הצעת חוק-יסוד: הכנסת (תיקון - מניעת התמודדות בבחירות של תומכי ומעודדי טרור)","(ללא ציר)","",""
"2224080","הצעת חוק העונשין (תיקון - הגנה על חושפי שחיתויות ומתריעים בנסיבות ביטחוניות), התשפ""ה-2024","(ללא ציר)","",""
"2224582","הצעת חוק חינוך טכנולוגי חובה, התשפ""ה-2024","(ללא ציר)","",""
"2225065","הצעת חוק לעידוד השקעות הון (תיקון - תחולה על מפעל תעשייתי ביישובים הסמוכים לגבול העימות בצפון, בשדרות וביישובי עוטף עזה), התשפ""ה-2024","האם לתת הטבות מס ממוקדות לאוכלוסיות ועסקים מסוימים?","pro","הרחבת הזכאות להטבות מס והשקעות לפי חוק לעידוד השקעות הון עבור מפעלים באזורי קו עימות ועוטף עזה."
"2225629","הצעת חוק התובע הכללי, התשפ""ה-2024","האם לפצל את סמכויות היועץ המשפטי לממשלה?","pro","ההצעה מקימה מוסד תובע כללי נפרד ובלתי תלוי, ובכך מפצלת את סמכויות התביעה מסמכויות היועץ המשפטי לממשלה."
"2226314","הצעת חוק העונשין (תיקון - עבירות זיוף עמוק), התשפ""ה-2025","האם להחמיר את האכיפה והענישה הפלילית?","pro","הוספת עבירות פליליות חדשות בחוק העונשין עם עונשי מאסר חמורים של 5 עד 10 שנים על הפצת דיפ-פייק."
"2226997","הצעת חוק זכויות הסטודנט (תיקון - איסור הפליה מחמת מוגבלות), התשפ""ה-2025","האם להרחיב את השירותים והזכויות לאנשים עם מוגבלות?","pro","הרחבת ההגנות המשפטיות ואיסור הפליה של אנשים עם מוגבלות באקדמיה, כולל איסור דרישת מידע רפואי."
"2227543","הצעת חוק לתיקון פקודת העיריות (הבטחת תשלומי גמלאות לעובדי עירייה), התשפ""ה-2025","(ללא ציר)","",""
"2227964","הצעת חוק-יסוד: הכנסת (תיקון - הצהרת אמונים של חבר הכנסת) ","האם לחזק נרטיב לאומי אחיד במרחב הציבורי?","pro","חיוב חברי הכנסת להצהיר אמונים למדינה כמדינה יהודית ודמוקרטית ולסמליה מחזק את הנרטיב הלאומי הממלכתי."
"2228410","הצעת חוק הצבת מכשירי החייאה במקומות ציבוריים (תיקון - חובת הצבת מכשיר החייאה בבניין רב-קומות), התשפ""ה-2025","(ללא ציר)","",""
"2229108","הצעת חוק כליאת אסירים ביטחוניים, התשפ""ה-2025","האם להגביל בחוק עסקאות חטופים ותנאי כליאה?","pro","ההצעה מחריגה אסירים ביטחוניים מהסדרי הכליאה הרגילים במטרה לאפשר החמרה והגבלה של תנאי כליאתם בחוק."
"2230015","חוק משפחות חיילים שנספו במערכה (תגמולים ושיקום) (תיקון מס' 47), התשפ""ו-2026","האם להרחיב זכויות ופיצויים לנפגעי עבירה, איבה ושכול?","pro","החוק מרחיב באופן משמעותי את התגמולים והזכויות הכלכליות ליתומי צה""ל ושכול בוגרים."
"2230607","הצעת חוק הגנת הצרכן (תיקון - שינוי יעד של משלוח טובין), התשפ""ה-2025","(ללא ציר)","",""
"2231205","הצעת חוק לתיקון פקודת התעבורה (שירותי תחבורה שיתופית מקוונת), התשפ""ה-2025","(ללא ציר)","",""
"2232063","הצעת חוק הביטוח הלאומי (תיקון - שיעור קצבת שירותים מיוחדים וגמלת ילד נכה למעסיקים שני מטפלים), התשפ""ה-2025","האם להגדיל את תקציבי הקצבאות לאנשים עם מוגבלות?","pro","ההצעה מונעת הפחתה בגמלת שירותים מיוחדים וילד נכה ובכך מגדילה את הקצבה הניתנת בפועל למשפחות."
"2232444","חוק שירות אזרחי (תיקון מס' 7), התשפ""ה-2025","(ללא ציר)","",""
"2233613","הצעת חוק חובת המכרזים (תיקון מס' 24 - הוראת שעה) (תיקון - הארכת הוראת השעה), התשפ""ה-2025","האם להגן על תעשייה וחקלאות מקומיות?","pro","ההצעה מאריכה את חובת העדפת תוצרת הארץ ברכישות טקסטיל ביטחוניות במטרה להגן על התעשייה המקומית."
"2234024","הצעת חוק הסדרי משפט ומינהל (תיקון - ניתוק הזיקה להכרזה על מצב חירום), התשפ""ה-2025","(ללא ציר)","",""
"2234218","הצעת חוק האפוטרופוס הכללי (תיקון - ניהול נכסי מקרקעין), התשפ""ה-2025 ","(ללא ציר)","",""
